id,title,price,link,image_link,brand,description,condition,sale_price,min_price,max_price,availability
W200,Коннекторы FINHA W200,7488 RUB,https://finha.com/production/connector/w200/,https://finha.com/upload/resize_cache/iblock/9fd/600_600_17f5c944b3b71591cc9304fac25365de2/9fd1b81bb3e193a33835f842e364576f.jpg,FINHA,,Новый,7488 RUB,7488 RUB,7488 RUB,TRUE
V200,Коннекторы FINHA V200,6932 RUB,https://finha.com/production/connector/v200/,https://finha.com/upload/resize_cache/iblock/ce7/600_600_17f5c944b3b71591cc9304fac25365de2/ce77a51f74dfb6fd10dda917db633f9d.jpg,FINHA,,Новый,6932 RUB,6932 RUB,6932 RUB,TRUE
P200,Коннекторы FINHA P200,6105 RUB,https://finha.com/production/connector/p200/,https://finha.com/upload/resize_cache/iblock/5cc/600_600_17f5c944b3b71591cc9304fac25365de2/5cc464780ee5e30c7f4a5520f702ce86.jpg,FINHA,,Новый,6105 RUB,6105 RUB,6105 RUB,TRUE
A200,Коннекторы FINHA A200,5453 RUB,https://finha.com/production/connector/a200/,https://finha.com/upload/resize_cache/iblock/955/600_600_17f5c944b3b71591cc9304fac25365de2/955291835f783abcd7902a45be94b64d.jpg,FINHA,,Новый,5453 RUB,5453 RUB,5453 RUB,TRUE
T200,Коннекторы FINHA T200,11697 RUB,https://finha.com/production/connector/t200/,https://finha.com/upload/resize_cache/iblock/2dd/600_600_17f5c944b3b71591cc9304fac25365de2/2ddc9e2f360c19fd1d380d2ed2c15c67.jpg,FINHA,,Новый,11697 RUB,11697 RUB,11697 RUB,TRUE
P200F,Коннекторы FINHA P200F,6105 RUB,https://finha.com/production/connector/p200f/,https://finha.com/upload/resize_cache/iblock/cc3/600_600_17f5c944b3b71591cc9304fac25365de2/cc3a57ff21d96780a54cf7534f3d2ab0.jpg,FINHA,,Новый,6105 RUB,6105 RUB,6105 RUB,TRUE
P200LF,Коннекторы FINHA P200LF,6105 RUB,https://finha.com/production/connector/p200lf/,https://finha.com/upload/resize_cache/iblock/b57/600_600_17f5c944b3b71591cc9304fac25365de2/b57694c698e821b6c6ff9af33712a017.jpg,FINHA,,Новый,6105 RUB,6105 RUB,6105 RUB,TRUE
T200F,Коннекторы FINHA T200F,11697 RUB,https://finha.com/production/connector/t200f/,https://finha.com/upload/resize_cache/iblock/881/600_600_17f5c944b3b71591cc9304fac25365de2/881e96dd8cdeda9022043afd48963bd1.jpg,FINHA,,Новый,11697 RUB,11697 RUB,11697 RUB,TRUE
T200LF,Коннекторы FINHA T200LF,11697 RUB,https://finha.com/production/connector/t200lf/,https://finha.com/upload/resize_cache/iblock/d21/600_600_17f5c944b3b71591cc9304fac25365de2/d21647da87a0153a888ad6f31ce51b32.jpg,FINHA,,Новый,11697 RUB,11697 RUB,11697 RUB,TRUE
W200F,Коннекторы FINHA W200F,7488 RUB,https://finha.com/production/connector/w200f/,https://finha.com/upload/resize_cache/iblock/0f9/600_600_17f5c944b3b71591cc9304fac25365de2/0f926932d6dda6ba82f270ad98fc77e2.jpg,FINHA,,Новый,7488 RUB,7488 RUB,7488 RUB,TRUE
